id,first_match,second_match,note
1000_l,7,0,4
251_c,0,0,0
252_l,1,0,10
253_c,1,4,17
254_c,1,0,10
255_c,1,0,10
256_r,0,0,0
257_r,9,0,2
258_c,1,0,10
259_c,1,2,19
260_c,4,10,8
261_c,1,2,19
262_l,1,0,10
263_l,8,0,3
264_l,2,4,16
265_r,2,0,9
266_l,1,6,15
267_l,0,0,0
268_c,1,5,16
269_r,1,0,10
270_l,1,3,18
271_r,0,0,0
272_l,0,0,0
273_l,0,0,0
274_c,0,0,0
275_c,1,2,19
276_c,1,0,10
277_c,5,0,6
278_c,1,4,17
279_l,1,0,10
280_c,1,7,14
281_l,1,5,16
282_l,5,0,6
283_c,4,8,10
284_c,1,9,12
285_c,1,3,18
286_c,1,0,10
287_c,5,0,6
288_c,0,0,0
289_l,1,0,10
290_l,1,5,16
291_c,2,3,17
292_r,0,0,0
293_r,1,2,19
294_c,1,2,19
295_c,4,0,7
296_l,2,0,9
297_l,0,0,0
298_c,1,0,10
299_c,0,0,0
300_c,1,2,19
301_l,7,0,4
302_c,5,10,7
303_r,1,3,18
304_c,2,5,15
305_r,1,2,19
306_l,1,2,19
307_l,8,0,3
308_l,0,0,0
309_l,0,0,0
310_l,1,10,11
311_c,1,2,19
312_r,1,10,11
313_l,0,0,0
314_r,1,0,10
315_r,1,2,19
316_l,1,2,19
317_c,5,10,7
318_r,0,0,0
319_c,1,0,10
320_l,0,0,0
321_l,2,3,17
322_r,1,2,19
323_c,1,2,19
324_c,0,0,0
325_l,0,0,0
326_c,1,0,10
327_r,0,0,0
328_l,0,0,0
329_r,8,0,3
330_c,9,0,2
331_l,0,0,0
332_l,1,7,14
333_l,2,0,9
334_c,0,0,0
335_c,1,2,19
336_r,2,3,17
337_c,1,2,19
338_l,1,0,10
339_r,0,0,0
340_r,1,0,10
341_l,0,0,0
342_l,4,0,7
343_r,1,2,19
344_l,9,0,2
345_c,1,2,19
346_r,1,2,19
347_c,1,2,19
348_c,2,9,11
349_r,0,0,0
350_r,10,0,1
351_c,7,0,4
352_r,0,0,0
353_r,1,0,10
354_r,2,4,16
355_l,8,0,3
356_l,0,0,0
357_c,1,0,10
358_l,2,3,17
359_c,2,3,17
360_l,3,0,8
361_r,0,0,0
362_l,1,2,19
363_l,1,0,10
364_c,1,2,19
365_c,1,2,19
366_r,0,0,0
367_l,3,0,8
368_c,1,4,17
369_l,2,0,9
370_r,1,0,10
371_l,1,0,10
372_l,1,0,10
373_c,1,0,10
374_c,1,10,11
375_l,0,0,0
376_l,1,0,10
377_c,7,8,7
378_r,0,0,0
379_r,0,0,0
380_r,2,0,9
381_l,6,0,5
382_c,2,0,9
383_c,1,0,10
384_c,3,0,8
385_c,1,2,19
386_l,1,3,18
387_l,1,9,12
388_l,0,0,0
389_r,1,0,10
390_r,3,0,8
391_c,1,8,13
392_l,1,6,15
393_r,0,0,0
394_c,1,2,19
395_r,1,3,18
396_l,1,0,10
397_c,0,0,0
398_c,0,0,0
399_c,0,0,0
400_c,1,0,10
401_l,1,3,18
402_r,0,0,0
403_r,0,0,0
404_r,1,0,10
405_r,0,0,0
406_r,1,4,17
407_l,2,0,9
408_r,1,2,19
409_r,5,7,10
410_r,5,0,6
411_l,0,0,0
412_r,1,0,10
413_r,2,0,9
414_c,1,0,10
415_l,1,2,19
416_l,0,0,0
417_l,0,0,0
418_r,1,3,18
419_c,1,2,19
420_c,0,0,0
421_c,0,0,0
422_c,1,2,19
423_r,2,0,9
424_r,1,3,18
425_l,1,2,19
426_c,1,2,19
427_l,1,0,10
428_c,0,0,0
429_l,0,0,0
430_r,0,0,0
431_r,1,0,10
432_c,2,4,16
433_c,0,0,0
434_l,0,0,0
435_r,0,0,0
436_r,1,2,19
437_l,0,0,0
438_r,10,0,1
439_r,0,0,0
440_c,0,0,0
441_c,1,2,19
442_l,0,0,0
443_r,7,0,4
444_r,1,2,19
445_r,2,7,13
446_r,1,6,15
447_r,1,8,13
448_l,1,10,11
449_l,0,0,0
450_l,1,2,19
451_r,2,0,9
452_c,3,0,8
453_c,0,0,0
454_c,1,3,18
455_l,3,0,8
456_r,1,3,18
457_l,1,0,10
458_l,1,2,19
459_l,1,3,18
460_c,0,0,0
461_r,2,3,17
462_c,5,0,6
463_c,5,10,7
464_c,6,0,5
465_r,0,0,0
466_r,1,3,18
467_r,1,3,18
468_r,0,0,0
469_l,0,0,0
470_r,0,0,0
471_l,7,0,4
472_c,1,5,16
473_l,1,0,10
474_c,1,3,18
475_r,0,0,0
476_l,0,0,0
477_l,4,0,7
478_c,0,0,0
479_r,3,6,13
480_l,1,3,18
481_r,0,0,0
482_r,0,0,0
483_r,1,2,19
484_r,2,3,17
485_c,0,0,0
486_c,1,2,19
487_c,0,0,0
488_c,8,0,3
489_l,3,0,8
490_l,0,0,0
491_r,2,0,9
492_r,1,0,10
493_l,2,3,17
494_c,1,3,18
495_r,1,0,10
496_l,1,4,17
497_l,0,0,0
498_c,1,3,18
499_c,0,0,0
500_l,0,0,0
501_l,0,0,0
502_l,0,0,0
503_l,2,7,13
504_l,2,0,9
505_c,0,0,0
506_c,0,0,0
507_r,1,0,10
508_c,3,4,15
509_r,9,0,2
510_l,1,2,19
511_r,1,2,19
512_l,3,0,8
513_l,1,2,19
514_c,1,2,19
