id,0,1,2,3,4,5,6,7,8,9,Truth,Total
292_i180,9.6071317168575252,8.013467185912722,7.2227350038311986,6.7187359906326654,6.4512060890344971,6.0542061181599696,5.8453777614212283,5.52405624798301,4.5818685493633939,3.9006823624557709,1,63.9194670257
292_i140,7.2967807824880158,6.2208657769226861,5.8457387706755215,5.8080752036775429,5.7015918317955645,5.4679881597147562,5.0948488235300395,5.0609423397475499,4.1391544585711184,3.3784176454081916,1,54.0144037925
292_i150,9.1117632448255552,7.6838132423960159,7.6583333903771473,7.6583333903771473,7.4892068134668426,7.2470602512486506,5.9774332990023042,5.8392779041364031,4.6199523793545234,3.7613013724098852,1,67.0464752876
292_i190,9.6680278366189167,9.1396758721409661,8.8512963924423751,7.8561340948563441,7.2799468395506395,7.1475450331247741,6.7886298817309489,6.5794972197513379,4.5370586893472495,4.1820034565053668,1,72.0298153161
292_c,5.2753237089953,5.1353459111828812,5.0570858792081061,4.6795339853099209,4.5897515852697204,4.5717954769704043,4.4798403844956507,4.2035120916861972,4.1969473255615322,3.991945101343914,1,46.18108145
296_i120,3.4757253930921679,3.4188904799416404,3.3730551243100915,3.3609900327552897,3.2203410585540651,3.2071223136750899,3.0844271033339212,3.0563270622990042,2.920387920641772,2.919092208162354,0,32.0363586968
325_i130,3.8659921406739688,3.776491643131588,3.7198186157758859,3.5043945347960337,3.4788774483449667,3.3615981409750857,3.3484417983910584,3.324214059830283,3.287681638035103,3.1108961420610926,0,34.778406162
326_l,4.6214209638606656,4.4381525018640584,4.1335269795367964,4.1265403112629571,4.0092716375741686,3.8482852260888216,3.7767900429750627,3.6231957609325547,3.5408444976057529,3.5065090696540144,0,39.6245369914
330_l,3.1987649934234756,3.0714736561970293,3.0271113697532801,2.9861168537939742,2.9821537631596997,2.9585870773892733,2.9314783151756849,2.8864369102239023,2.7345558798652561,2.6924594159809652,0,29.469138235
260_i210,2.4794559993008938,2.470449698145444,2.4600659340561757,2.4154268421737872,2.3892588385448978,2.3590466618900354,2.3080533410401101,2.2937429083897567,2.2480444782585716,2.2322894407859444,0,23.6558341426
287_i210,2.2659240518745571,2.2404266646031878,2.2370945048997015,2.2298681153488351,2.2228253446888115,2.1826760079206018,2.1608354075270153,2.1304400685491993,2.1233850376936605,2.0885168402019278,0,21.8819920433
311_i190,3.1737863245487632,3.1633522914666203,3.0388017496873885,2.939634171199037,2.8488471222927996,2.8048304579171948,2.801924796713462,2.7800308951989408,2.7799834481548649,2.6415921634374757,0,28.9727834206
256_i120,3.3757604057451682,3.2779746827148926,3.2162782395380329,3.1973467354584679,3.1657936613213304,3.1142167688182076,3.0350558918219033,3.0010169647814484,2.8371012707497254,2.5892362863023894,0,30.8097809073
276_i250,3.4532647164204202,3.1939322937897643,3.1450407794980526,3.1275940828401327,3.1206703534885656,2.9291224778604681,2.8973490165291342,2.8925066428731263,2.872528272609808,2.8023909455861835,0,30.4343995815
288_i120,4.308281508809098,3.8991131433176016,3.8827450475679508,3.827659032944013,3.8042264938714867,3.7839410632674251,3.586224480060876,3.3508758115110755,3.1434256081294589,3.1349190639680988,0,36.7214112534
Conclusion,75.1774037875,69.1434250437,66.8687277812,64.4363833774,62.753968881,61.038021235,58.1167103437,56.5460728879,50.5629194539,46.9322515143,-,611.575884306
