id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Total
263_r,6.8902676274120456,0,0,0,0,0,0,0,0,0,6.416178489615004,0,0,0,0,0,0,0,0,0,13.306446117
263_i110,11.650380249606375,9.0818020868469631,8.6602536344871055,8.3699623395207787,8.1649655121397373,0,7.9400939291979151,0,0,0,0,0,0,0,0,0,0,0,0,0,53.8674577518
263_i130,11.684408719909657,11.297264579732035,10.796600887424507,9.7332843494231369,8.8465169891330078,8.4381918702032976,8.3205026060438794,0,7.8783850715987214,0,0,7.7945457233747764,0,0,0,0,0,0,0,0,84.7897007968
263_i190,12.451572424949989,10.783377859105737,10.698524396468104,9.963103380341785,9.9183710599173018,9.200395084896023,8.4591781651440794,0,0,0,7.7429888766060975,0,0,0,0,0,0,0,0,0,79.2175112474
263_i230,8.8551358513124825,8.6921211148614415,8.3913115756982961,0,8.3090807495113328,0,7.8842069881972208,7.805087011736207,0,0,0,7.3850718221671894,0,0,0,0,0,0,0,7.0640530245574471,64.386068138
252_i150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268_i140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258_l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254_l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266_i110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conclusion,51.5317648732,39.8545656405,38.5466904941,28.0663500693,35.2389343107,17.6385869551,32.6039816886,7.80508701174,7.8783850716,0,14.1591673662,15.1796175455,0,0,0,0,0,0,0,7.06405302456,295.567184051
