id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Total
269_c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269_i230,11.833401367873368,11.499999785795811,11.499998800456648,10.909857705312943,10.173494135171659,9.2205126147706018,8.4933124947714802,0,7.6351251739150765,0,0,0,0,0,0,0,0,0,0,0,81.2657020781
269_i130,13.532012694617976,13.039773926792021,12.597618932752805,12.197591975371752,11.193277448283173,9.3897107959296289,0,0,8.2563977862243281,8.1317277372463543,0,0,0,0,0,0,0,0,0,0,88.3381112972
269_i190,11.499999785795811,10.909857705312943,10.173494906306681,9.9592916153989197,9.5685781452456613,9.3897101390368025,7.8127115469197888,7.6512023342319742,0,0,0,0,0,0,0,0,0,0,0,0,76.9648461782
269_i210,11.193277448283173,10.909857705312943,10.646931248946951,9.9592916153989197,9.5685781452456613,9.0601435768826484,8.493313032229258,8.026556138882464,0,0,0,0,0,0,0,0,0,0,0,0,77.8579489112
251_i250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270_l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256_i210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253_r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252_i170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conclusion,48.0586912966,46.3594891232,44.9180438885,43.0260329115,40.5039278739,37.0600771266,24.7993370739,15.6777584731,15.8915229601,8.13172773725,0,0,0,0,0,0,0,0,0,0,324.426608465
